"stocklong","area","location","comm_name","sci_name","yr1","yr2","nyrs","dupyrs","n_units","ref"
"Nyctiphanes krill Kaikoura","New Zealand","Kaikoura","Nyctiphanes krill","Nyctiphanes australis",1975,2004,30,0,"index","Mills et al 2008"
"Atlantic herring Rost age 0","Norway","Rost","Atlantic herring","Clupea harengus",1975,2004,29,0,"age 0 individuals","Anker-Nilssen and Aavark 2006"
"Rockfish spp. SE Farallon Island MRI1","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1980,1997,18,0,"index","Mills et al 2007"
"Sardine Robben Island spawners","Benguela","Robben Island","Sardine","Sardinops sagax",1989,2005,17,0,"million tons","Crawford et al 2006"
"Sardine Robben Island YOY","Benguela","Robben Island","Sardine","Sardinops sagax",1989,2005,17,0,"million tons","Crawford et al 2006"
"European anchovy Robben Island spawners","Benguela","Robben Island","European anchovy","Engraulis encrasicolus",1989,2004,16,0,"million tons","Crawford et al 2006"
"European anchovy Robben Island YOY","Benguela","Robben Island","European anchovy","Engraulis encrasicolus",1989,2004,16,0,"million tons","Crawford et al 2006"
"Rockfish spp. SE Farallon Island MRI3","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1987,2002,16,0,"index","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI2","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1983,1997,15,0,"index","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI5","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1987,1999,13,0,"index","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI9","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1987,1999,13,0,"index","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI4","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1987,1997,11,0,"index","Mills et al 2007"
"Antarctic krill Bird Island","Scotia","Bird Island","Antarctic krill","Euphausia superba",1991,2002,10,0,"index","Hill et al 2005"
"Rockfish spp. SE Farallon Island MRI8","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1987,1998,10,0,"index","Mills et al 2007"
"Sand lance/capelin/walleye pollock Barren","Cook Inlet","Barren","Sand lance/capelin/walleye pollock","Misc. spp.",1995,1999,5,0,"g/m3","Piatt ed 2002"
"Sand lance/capelin/walleye pollock Chisik","Cook Inlet","Chisik","Sand lance/capelin/walleye pollock","Misc. spp.",1995,1999,5,0,"g/m3","Piatt ed 2002"
"Sand lance/capelin/walleye pollock Gull","Cook Inlet","Gull ","Sand lance/capelin/walleye pollock","Misc. spp.",1995,1999,5,0,"g/m3","Piatt ed 2002"
"Rockfish spp. SE Farallon Island MRI7","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1987,1999,4,0,"index","Mills et al 2007"
